dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_lord_ask_pardon:lord_ask_pardon_2|Hmm. Mogę użyć moich znacznych wpływów, aby zaaranżować twoje przeprosiny, {playername}. Istnieją jednak ludzie, którzy postrzegają cię jako wroga i nie będą zadowoleni, dopóki im nie zapłacisz. Tak czy inaczej, musisz przynieść nie mniej, niż {reg16} denarów, by zadowolić {s4}.
dlga_lord_ask_pardon:lord_pretalk.4|Niestety, ta sprawa nie leży w mojej gestii. {s7} to osoba, z którą musisz o tym pomówić.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Tak… Mam większe zmartwienia niż ty czy twoi poplecznicy. Moi poddani cierpią przez ciebie, a to wymaga rekompensaty. Za sumę {reg16} denarów, mogę udzielić ci łaski. Co ty na to?
dlga_lord_ask_pardon:lord_pretalk.5|Przykro mi, ale nie mam uprawnień, by cię ułaskawić.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|Mam ze sobą pieniądze. {reg16} denarów.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|Obawiam się, że tyle nie mogę zapłacić.
dlga_lord_ask_pardon_tribue_accept:close_window|Znakomicie, {playername}. Użyję tego, aby załagodzić tych, z którymi nie było tobie po drodze, i rozgłoszę, że {s4} nie jest już twym wrogiem.
dlga_lord_ask_pardon_tribue_accept:close_window.1|Znakomicie, {playername}. Użyję tych monet, aby przygładzić piórka tym, którzy są przeciw tobie i jestem pewien, że wkrótce rozejdzie się wieść, że {s4} i ty nie macie już w sobie wrogów.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|W takim razie nic nie mogę dla ciebie zrobić, {playername}. Nie ma srebra, nie ma wybaczenia.
dlga_lord_talk:lord_active_mission_1|Jeśli chodzi o to zadanie od ciebie...
dlga_lord_talk:lord_switch_to_spouse|Porozmawiajmy o sprawach naszego domu.
dlga_lord_switch_to_spouse:lord_pretalk|Zaczekajmy aż znajdziemy się na pokojach, moja żono, bowiem ciężko dyskutować o takich sprawach w polu.
dlga_lord_switch_to_spouse:spouse_talk|Oczywiście, moja żono.
dlga_lord_talk:lord_request_mission_ask|Masz dla mnie jakieś zadania?
dlga_lord_talk:combined_political_quests|Czy myślisz, że możemy współdziałać, by zwiększyć swą pozycję w królestwie?
dlga_combined_political_quests:lord_pretalk|Nie uważam, byśmy mieli wiele wspólnych celów.
dlga_combined_political_quests:lord_pretalk.1|Może przedyskutujemy tę kwestię w bardziej zacisznym otoczeniu innego dnia.
dlga_combined_political_quests:lord_pretalk.2|Hm... Mam pewien pomysł, ale twoje imię musi być wolne od wszelkich kontrowersji. Postaraj się przez jakiś czas nie wdawać w kłótnie z szlachtą, a może uda nam się zrobić coś więcej.
dlga_lord_talk:lord_ask_resign_marshalship|Chciałbym zrezygnować ze stanowiska marszałka.
dlga_lord_ask_resign_marshalship:lord_pretalk|Niech tak będzie. Będę musiał{/a} znaleźć inną osobę.
dlga_lord_talk:lord_ask_enter_service|{s66}, przybywam, aby zaoferować mój miecz w twoim wasalstwie!
dlga_lord_talk:lord_ask_enter_service.1|{s66}, przybywam, aby przyrzec ci wierność i zostać {strażnikiem/strażniczką} twojego honoru.
dlga_lord_talk:lord_ask_leave_service|{s66}, chcę uwolnić się od złożonej tobie przysięgi.
dlga_lord_talk:lord_talk_preoffer|Mam dla ciebie ofertę.
dlga_lord_talk:lord_give_troops|Chcę ci dać trochę wojska.
dlga_lord_give_troops:lord_pretalk|Cóż, przydadzą mi się dobrzy żołnierze. Dziękuję.
dlga_lord_talk:lord_give_order_ask|Mam dla ciebie nowe zadanie.
dlga_lord_talk:lord_give_suggestion_ask|Czy mogę zasugerować kolejne kroki?
dlga_lord_give_order_ask:lord_give_order|Tak?
dlga_lord_give_suggestion_ask:lord_give_order|Z przyjemnością wykonam twój rozkaz, {panie/wasza wysokość}. Jednakże, jeśli pragniesz pokierować większą kampanią, może rozważył{byś/abyś} ogłoszenie swojej osoby marszałkiem, aby uniknąć zamieszania?
dlga_lord_give_suggestion_ask:lord_pretalk|Wybacz, nie znam cię na tyle dobrze, aby przyjmować od ciebie rady.
dlga_lord_give_suggestion_ask:lord_give_order.1|O co chodzi?
dlga_lord_give_order:lord_give_order_answer|Chodź za mną.
dlga_lord_give_order:lord_give_order_answer.1|Czy pójdziesz za mną? Mam plan.
dlga_lord_give_order:lord_give_order_details_ask|Idź do...
dlga_lord_give_order:lord_give_order_details_ask.1|Zaatakuj wioskę...
dlga_lord_give_order:lord_give_order_details_ask.2|Przeprowadź patrol wokół...
dlga_lord_give_order:lord_give_order_assault|Jeśli połączymy nasze siły, {s11} będzie bez szans. Niezwłocznie przystąp do ataku.
dlga_lord_give_order:lord_give_order_details_ask.3|Wróg atakuje, ale jesteśmy w stanie odeprzeć jego napór. Udaj się w stronę...
dlga_lord_give_order:lord_give_order_details_ask.4|Wróg atakuje, ale jesteśmy w stanie odeprzeć jego napór. Zbierz armię i wyrusz do...
dlga_lord_give_order_assault:lord_pretalk|{s4} dowodzi oblężeniem. Radzę, abyś z {reg4?nią:nim} porozmawiał.
dlga_lord_give_order_assault:lord_pretalk.1|Nasze przygotowania nie dobiegły jeszcze końca. Potrzeba nam kolejnych {s11}
dlga_lord_give_order_assault:close_window|Doskonale. Atakować mury!
dlga_lord_give_order:lord_give_order_details_ask.5|Jest pewna forteca, którą z łatwością można przejąć. Udaj się do...
dlga_lord_give_order:lord_give_order_details_ask.6|Wróg ma przeważające siły. Wykonaj odwrót w kierunku...
dlga_lord_give_order:lord_give_order_stop|Nie będę cię na razie potrzebowa{ł/ła}. Możesz robić, co uważasz.
dlga_lord_give_order:lord_give_order_stop.1|Nie musisz już dalej mi towarzyszyć.
dlga_lord_give_order:lord_pretalk|Nieważne.
dlga_lord_give_order_details_ask:lord_pretalk|Ruszanie do odwrotu bez spojrzenia na siły wroga nie jest w moim stylu.
dlga_lord_give_order_details_ask:lord_pretalk.1|Chcesz, żebym przelewał krew moich ludzi pod fortecą, gdy inni stoją i się przyglądają? Niedoczekanie twoje.
dlga_lord_give_order_details_ask:lord_give_order_details|Gdzie?
dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Nieważne.
dlga_lord_give_order_stop:lord_pretalk|W porządku. Tu się zatrzymam.
dlga_lord_give_order_answer:lord_give_order|To byłoby niewłaściwe. Lepiej trzymaj się moich wytycznych. Masz jakieś inne pomysły?
dlga_lord_give_order_answer:lord_pretalk|W porządku. Tak zrobię.{s12}
dlga_lord_give_order_answer:lord_pretalk.1|Przykro mi . Muszę w tej chwili zająć się własnymi sprawami.
dlga_lord_start:lord_talk.5|O co chodzi?
dlga_lord_talk:lord_give_order_call_to_arms_verify|Chcę rozpocząć nową kampanię. Zgromadźmy tutaj armię.
dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|Chcesz wezwać wszystkich lordów do nowej kampanii?
dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Tak. Musimy zebrać nasze siły, zanim ruszymy na wroga.
dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|Hm, myślę jednak, że nie będzie konieczne wzywanie wszystkich.
dlga_lord_give_order_call_to_arms:lord_pretalk|W porządku. Wyślę posłańców do wszystkich z wiadomością, by się tu zjawili.
dlga_lord_talk:lord_give_order_disband_army_verify|Chcę zakończyć kampanię i odesłać wszystkich do domów.
dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|Chcesz zakończyć tę kampanię i zwolnić wszystkich lordów ze służby?
dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Tak. Nie potrzebujemy już tutaj wszystkich sił.
dlga_lord_give_order_disband_army_2:lord_pretalk|Myślę jednak, że lepiej będzie zostać teraz razem.
dlga_lord_give_order_disband_army:lord_pretalk|W porządku. Przekażę wszystkim, że są zwolnieni ze służby.
dlga_lord_talk:lord_talk_ask_something|Chcę cię o coś zapytać.
dlga_lord_talk_ask_something:lord_talk_ask_something_2|Tak? O co chodzi?
dlga_lord_talk_ask_something_again:lord_talk_ask_something_2|Coś jeszcze?
dlga_lord_talk_ask_something_2:lord_talk_ask_location|Poszukuję pewnej osoby. Możesz mi pomóc?
dlga_lord_talk_ask_something_2:lord_tell_objective|Co ty, wraz ze swoimi ludźmi robicie?
dlga_lord_talk_ask_something_2:lord_talk_ask_about_strategy|Co słychać w królestwie?
dlga_lord_talk_ask_about_strategy:lord_pretalk|To twoja decyzja. Jesteś w końcu marszałkiem.
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|Co słychać na wojnie?
dlga_lord_talk_ask_something_2:lord_marriage_permission|{s19}
dlga_lord_marriage_permission:lord_pretalk|Wielkie nieba, człowieku, jeśli nie dałem ci pozwolenia na spotkanie z nią, sądzisz, że pozwolę wam wziąć ślub?
dlga_lord_marriage_permission:lord_pretalk.1|Nie mam w zwyczaju narzucania swojej woli w kwestii zamążpójścia. {s11} wie lepiej, czego chce.
dlga_lord_marriage_permission:lord_pretalk.2|Przykro mi, {kolego/koleżanko}. Nie pozwolę, żeby moja {s11} wyszła za ciebie. Wolę, żeby jej mężem został {s12}.
dlga_lord_marriage_permission:lord_marriage_permission_endowment|Młody człowieku, mam dla ciebie doskonałe wieści - z dumą przyjmę cię do mojej rodziny. Przedyskutujmy zatem warunki zaślubin. Zgodnie ze zwyczajem, nasza dwójka musi mieć pewność, że {s11} będzie wystarczająco majętna, aby zadbać o samą siebie w razie nieprzewidzianych okoliczności.
dlga_lord_marriage_permission_endowment:lord_marriage_permission_endowment_answer|Biorąc pod uwagę status naszych rodzin, proponuję, aby twój posag wynosił {reg3} denarów, podczas gdy ja dołożę wiano w wysokości {reg4} denarów. Ta suma powinna stanowić dla niej zabezpieczenie w przypadku, gdy nie będziesz w stanie jej utrzymać. Co ty na to?
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_engagement_date|Doskonale. Niech i tak będzie.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_delay|W tym momencie nie mam tyle pieniędzy.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_no|To dla mnie za duży wydatek.
dlga_lord_marriage_permission_endowment_answer_no:close_window|Nie mogę pozwolić na to, aby moja córka wyszła za mąż bez żadnego zabezpieczenia finansowego, prawda? Daj mi znać, jeśli zmienisz zdanie.
dlga_lord_marriage_permission_engagement_date:close_window|Doskonale! Możecie uznać, że wasze zaręczyny zostały oficjalnie przyjęte. Jak tylko sytuacja na to pozwoli, zajmę się organizowaniem uczty w miejscowości {s24}. Z pewnością powiadomimy cię, kiedy ten dzień nadejdzie.
dlga_lord_marriage_permission_engagement_date:close_window.1|Jedyny problem polega na tym, że nie ma bezpiecznego miejsca, w którym mógłby się odbyć ślub. Pozwól, że na jakiś czas wstrzymamy się z ceremonią.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk|Nie ma sprawy. Daj sobie czas na uzbieranie odpowiedniej sumy. Chcę, aby moja dama żyła w dostatku.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk.1|Wielka szkoda, ale wykazałbym się opieszałością, gdybym pozwolił, aby moja dama musiała stawić czoła niepewnej przyszłości.
dlga_lord_talk_ask_something_2:lord_courtship_permission|{s10} {s14}{s12} będzie łaskawa mnie przyjąć?
dlga_lord_courtship_permission:lord_pretalk|Z tego, co słyszałem, już z nią rozmawiałeś i to bez mojej zgody. Pozwól, że coś ci wytłumaczę... Jestem jej panem i opiekunem, i mam wobec niej pewne plany. Nikt nie będzie drwił za moimi plecami, traktując mnie jak mężczyznę, który nie potrafi zapanować nad kobietami w swoim domostwie. Proszę byś nie porusza{ł/ła} już więcej tego tematu w mojej obecności.
dlga_lord_courtship_permission:lord_pretalk.1|{s14}
dlga_lord_courtship_permission:lord_pretalk.2|{s12}
dlga_lord_talk_ask_something_2:lord_talk_ask_marriage_1|Co musiał{bym/abym} zrobić, aby zawrzeć sojusz z twoją rodziną?
dlga_lord_talk_ask_something_2:lord_pretalk|Nieważne.
dlga_lord_talk_ask_location:lord_talk_ask_location_2|Dobrze, ale nie obiecuję, że odpowiem. Jaka osoba cię interesuje?
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_2:lady_pretalk|Nieważne.
dlga_lord_talk_ask_location_2:lord_pretalk|Nieważne.
dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Interesuje mnie {s1}. Opowiedz więcej o wojnie jaką z nim toczycie.
dlga_lord_talk_ask_about_war_2:lord_pretalk|To wszystko, co chcę wiedzieć. Dziękuję.
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7} {s9} {s14}
dlga_lord_strategy_follow_evaluation:lord_talk_ask_something_2|Czy masz jeszcze jakieś inne pytania?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up|{Nasz przywódca/Nasza przywódczyni}, {s4}, wykazuje zdecydowanie zbyt dużą ostrożność. {Powinien/Powinna} wykorzystać armię do ataku albo puścić ją do domu.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.1|Nasza armia siedzi na rzyci i nic nie robi. Wygląda na to, że za mało wasali stawiło się na wezwanie do walki. Być może {s4} nie cieszy się już zaufaniem możnych tej krainy i przydałaby się zmiana.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.2|Nie zgadzam się z tą strategią. Lepiej byłoby {s4}.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.3|Osobiście wolałbym, żebyśmy zaatakowali {s8}, ale nasz marszałek {s10} uważa, że {s9}
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.4|Osobiście uważam, że {s8} to miejsce, które wymaga naszej obrony, a nie {s9}.
dlga_lord_strategy_follow_evaluation:lord_talk|Coś jeszcze?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.5|Ta strategia wydaje się rozsądna.
dlga_lord_strategy_follow_up:lord_strategy_why_not|Jeżeli atakujesz, czemu więc nie...
dlga_lord_strategy_follow_up:lord_talk_ask_something_again|Rozumiem...
dlga_lord_strategy_follow_up:lord_talk_replace_marshal|Czy uważasz zatem, że {s4} nie powinien już być marszałkiem?
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again|Uważam, że {s4} stanowi kwestię wymagającą rozwiązania, nim zaczniemy rozmawiać o zmianie marszałka.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.1|Moje zdanie w tej sprawie jest jasne i niezmienne. Uważam, że marszałkiem musi zostać {s4}, a nie {s5}.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.2|Rozważę wszystko bez twej pomocy, {panie/pani}.
dlga_lord_talk_replace_marshal:lord_talk_replace_marshal_decision|Hm...
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again|Zgadzam się z tym. W chwili obecnej kusi mnie, by powiedzieć, że to {s15} ma moje poparcie. Cieszę się z naszej rozmowy. Teraz wiem, że mamy w tej kwestii takie samo zdanie.
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again.1|Niekoniecznie. Możliwe, że ja i {s4} mamy w sprawie strategii odmienne zdania, co nie oznacza, że chcę przejąć tę funkcję.
dlga_lord_strategy_why_not:lord_strategy_why_not_select|Tak?
dlga_lord_strategy_why_not_select:lord_talk_ask_something_again|Nieważne.
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason|..planujesz kontynuować natarcia na {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.1|..bronisz {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.2|..atakujesz {s4}?
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat|{s9}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.1|Nasz marszałek {s11} uważa, że {s8} {s9}{s10}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.2|Możemy tam ruszyć. {s7} Jednakże, {s5} {s3} {s4}. {s6} {s8}.
dlga_lord_talk_why_not_repeat:lord_strategy_why_not_select|Jakieś zbliżone pytania? Czemu nie...
dlga_lord_talk_ask_marriage_1:lord_pretalk|Nie weźmiesz tego do siebie, jeśli ci powiem, że ja, jako król, mam inne plany wobec moich dzieci.
dlga_lord_talk_ask_marriage_1:lord_pretalk.1|Nasz stary obyczaj nakazuje pieczętować takie sojusze małżeństwem. Niestety, w mojej rodzinie nie ma nikogo, kto nadawałby się do małżeństwa.
dlga_lord_talk_ask_marriage_1:lord_courtship_pre_permission|{s15}
dlga_lord_talk_ask_marriage_1:lord_marriage_proposal_female_pc_confirm|Obiecujesz, że weźmiemy ślub?
dlga_lord_courtship_pre_permission:lord_courtship_permission|Czy mogę {s15}zasugerować moją kandydaturę do roli pana młodego?
dlga_lord_courtship_pre_permission:lord_marriage_permission_engagement_date|OSZUSTWO -- Rozpocząć zaręczyny.
dlga_lord_courtship_pre_permission:lord_pretalk|Nieważne.
dlga_lord_marriage_proposal_female_pc_confirm:lord_marriage_proposal_female_pc_reax|Tak, to są moje oświadczyny!
dlga_lord_marriage_proposal_female_pc_confirm:lord_pretalk|Nie, chyba źle mnie zrozumiałeś.
dlga_lord_marriage_proposal_female_pc_reax:lord_pretalk|{s14}
dlga_lord_marriage_proposal_female_pc_reax:lord_marriage_proposal_female_pc_next_step|{s14}
dlga_lord_marriage_proposal_female_pc_next_step:lord_marriage_proposal_female_pc_next_step_4|Zakładam, że kolejnym krokiem z mojej strony powinno być wysłanie wiadomości do twojej rodziny z pytaniem o pozwolenie na ślub, ale podejrzewam, że sama podejmujesz decyzje.
dlga_lord_marriage_proposal_female_pc_next_step_4:lord_marriage_proposal_female_pc_next_step_5|Masz słuszne podejrzenia.
dlga_lord_marriage_proposal_female_pc_next_step_5:lord_marriage_proposal_female_pc_confirm_engagement|Dobrze. Skoro nie ma żadnych przeszkód na drodze do naszego ślubu, czy możemy uznać zaręczyny za oficjalne? Zorganizuję wielką ucztę, na której będziemy mogli wygłosić nasze przysięgi przed wszystkimi władcami królestwa. Oczywiście, jeśli taka jest twoja wola...
dlga_lord_marriage_proposal_female_pc_confirm_engagement:lord_marriage_proposal_female_pc_confirm_engagement_yes|Taka ma wola.
dlga_lord_marriage_proposal_female_pc_confirm_engagement:lord_marriage_proposal_female_pc_confirm_engagement_no|Chciałabym to jeszcze przemyśleć.
dlga_lord_marriage_proposal_female_pc_confirm_engagement_yes:close_window|Doskonale. Mam nadzieję, że za niewiele ponad miesiąc będziemy już po słowie.{s12}
