str_no_string|NO STRING!
str_npc16_personalitymatch_speech_b|Znasz już jej historię? Wierzysz w zło, które ją spotkało? Mówię ci, od tego gotuje mi się krew. Chcę odciąć członki wszystkim tym bydlakom, którzy ją źle traktowali - i z pewnością  zrobię to, jeśli na nich trafimy.
str_npc1_retirement_speech|Mam już dość maszerowania po całej krainie i wykrwawiania się w czyimś imieniu. Plądrowanie jest przyjemne, ale chyba już mam go dość. Zamierzam wrócić do wioski, ożenić się, osiąść, może hodować konie, jeśli będzie mnie stać.
str_npc2_retirement_speech|Zaczyna mnie powoli męczyć życie wojownika. Zamierzam zainwestować swoje udziały w łupach w towary - futra, len, jedwab - i zabrać je z powrotem w góry. Jeszcze raz chciałbym ci podziękować za zabranie mnie, życzę ci wszystkiego najlepszego.
str_npc3_retirement_speech|Muszę ci o czymś powiedzieć... Uznałam, że życie wojownika nie jest dla mnie. Myślę, że pewnie już za późno, żebym znalazła sobie dobrego męża - wśród moich ludzi nikt nie wziąłby sobie kobiety, która służyła w kompanii pełnej mężczyzn - ale mam dość pieniędzy, by spróbować zająć się handlem. Mam nadzieję, że się nie gniewasz {panie/pani}.
str_npc4_retirement_speech|Walczyłem dla ciebie z honorem, jak przystało na przedstawiciela rodziny Rolfów, ale nie jestem zadowolony z twojego dowództwa. Wrócę do domu, do posiadłości moich przodków, gdzie bardzo mnie potrzebują.
str_npc5_retirement_speech|Bahadur - od kiedy wziąłem twoją sól, walczyłem dla ciebie zawzięcie i lojalnie. Nie zawsze jednak otrzymywałem zapłatę za moje usługi w postaci dowództwa, na jakie zasługuję. Wracam więc do domu w nadziei, że ludzie Khana o mnie zapomnieli. Chcę znów ujrzeć ojca i braci.
str_npc6_retirement_speech|Dołączyłem do tej kompanii w nadziei, że wyprowadzisz mnie z ciemności i istotnie znalazłem tutaj ukojenie. Mam jednak trochę zastrzeżeń do twojego stylu dowodzenia i zaczynam podejrzewać, że droga do odkupienia znajduje się gdzie indziej.
str_npc7_retirement_speech|Jestem już zmęczona tymi ciągłymi walkami i patrzeniem na ludzi, których zżera strach, żądza i setki innych grzechów. Mam w sakiewce trochę pieniędzy. Wyruszę za morze, w poszukiwaniu lepszej krainy niż Calradia. Myślę, że świetnie sobie beze mnie poradzisz.
str_npc8_retirement_speech|Walczyłam dla ciebie w pierwszym szeregu i robiłam to dobrze. Jednak twoje dowodzenie nie zawsze mi odpowiadało i mam teraz inne plany. Zabiorę to, co udało mi się splądrować, sama zwerbuję ludzi i pożegluję na północ, aby z rąk zdradzieckiego szwagra odzyskać to, co należało do mojego męża . Życzę ci powodzenia.
str_npc9_retirement_speech|Dobrze razem walczyliśmy i zdobyliśmy prawdziwe uznanie. Czasami jednak mam wątpliwości w kwestii twojego dowodzenia i chyba czas, abym pomyślał o odzyskaniu ojcowizny. Opuszczę cię. Może spotkamy się ponownie.
str_npc10_retirement_speech|Mam już szczerze dosyć przemierzania Calradii wzdłuż i wszerz. Zaoszczędziłem dość, aby kupić gdzieś kawałek ziemi. Do widzenia i życzę ci powodzenia.
str_npc11_retirement_speech|Udało ci się uczynić starej kobiecie wspaniałą przysługę, biorąc ją do swojej kompanii. Obawiam się jednak, że to życie nie podoba mi się bardziej, niż prowadzenie wozu. Za zimno, za głodno, a na końcu czeka tylko dziura w ziemi. Wyruszam więc, choć jeszcze nie wiem dokąd.
str_npc12_retirement_speech|Dobrze mi było w twojej kompanii. Napełniłem brzuch, zdobyłem trochę złota i poszerzyłem wiedzę dotyczącą ran i obrażeń - nie mogę na to narzekać! Teraz jednak myślę, że służba w tej kompanii mnie ogranicza. Mam obowiązek podzielić się moimi odkryciami z innymi chirurgami i w tym celu muszę wynająć skrybów, o których niełatwo w Calradii. Wracam do domu.
str_npc13_retirement_speech|Kiedy twoje imię jest coraz głośniejsze, obawiam się, że moja własna reputacja zacznie blednąć, niczym księżyc pokonany przez słońce. Zadecydowałem, że czas odejść na swoje. Życzę ci powodzenia i szczęścia!
str_npc14_retirement_speech|Chcę cię poinformować o tym, że musimy się rozstać. Zamierzam poszukać zatrudnienia gdzie indziej.
str_npc15_retirement_speech|Doceniam fakt, że znalazłem się w twojej kompanii, ale nie jestem zadowolony z przebiegu spraw. Zamierzam gdzieś wyruszyć - może do domu, może poszukać innej pracy - jeszcze nie podjąłem decyzji.
str_npc16_retirement_speech|Dobrze mi było w tej kompanii, znalazłam też kilka błyskotek na polu bitwy, ale teraz przestało mi to odpowiadać. Opuszczam cię, aby zaoferować swoje usługi gdzie indziej.
str_npc1_rehire_speech|{Szefie/Szefowo}, dobrze cię znów widzieć. Wiem, że w przeszłości czasami się nie zgadzaliśmy, ale prawdę mówiąc, to były najlepsze dni jakie przeżyłem. No i również miałem sporo trudności ze znalezieniem pracy. Posłuchaj, jeśli zechcesz mnie tutaj z powrotem, chętnie znów dołączę do twojej kompanii.
str_npc2_rehire_speech|{Panie/Pani}! Dobrze cię znów widzieć. Przyznam jednak, że cię szukałem. Kupiłem trochę towarów, tak jak ci mówiłem, załadowałem je i zabrałem na step - ale wyobraź sobie, znów ci Khergici... straciłem wszystko. Wygląda na to, że muszę walczyć o szczęście. Ludzie powiadają również, że dobrze wam się powodzi. Powiedz mi więc {panie/pani}, przyjmiesz mnie z powrotem?
str_npc3_rehire_speech|Och, witaj {panie/pani}! Dobrze cię znów widzieć. Niestety, od naszego rozstania nie wiodło mi się dobrze. Rodzina matki, która - jak wierzyłam - pomoże mi rozpocząć karierę kupiecką, nie była tak życzliwa, jak sądziłam. Jedyne co otrzymałam, to wykłady od ciotek dotyczące tego, jak zrujnowałam sobie szanse na małżeństwo poprzez służbę w najemnej kompanii. Może bardziej nadaję się do wojny niż do handlu i moim zadaniem jest dzielenie się posiłkiem przy ognisku, a nie picie wina z kupcami z Veluki. {Panie/Pani}, muszę o to zapytać - czy przyjmiesz mnie z powrotem?
str_npc4_rehire_speech|Witaj kapitanie. Minęło trochę czasu. Z tego co słyszałem, nieźle sobie radzisz.  Ja niestety miałem poważne problemy z utrzymaniem się z mojego majątku - szarańcza, ulewy, oporni poddani i wiele innych. Pomyślałem, że może jeszcze raz chwycę za miecz. Wiem, że były między nami nieporozumienia, ale będę zaszczycony, mogąc ponownie stanąć w twoich szeregach.
str_npc5_rehire_speech|{playername} Bahadur! Twoja sława jest coraz większa - nawet w mojej ojczyźnie, za górami. Wróciłem tam z nadzieją, że ludzie Khana o mnie zapomnieli. Cóż, jednak tak się nie stało - nie zdążyłem jeszcze postawić nogi na mojej ziemi, kiedy otrzymałem wieść od rodziny, że Chan i Humyan mnie szukają. Wróciłem więc, licząc na to, że ty zapomnisz o niemiłych słowach, które wypowiedziałem i będę mógł znów dla ciebie walczyć.
str_npc6_rehire_speech|Dobrze cię widzieć {panie/pani}. Gdziekolwiek idę, ludzie opowiadają o twoich czynach. Mnie tak dobrze się nie wiodło od naszego rozstania. Demony dopadają mnie wszędzie. Moja dusza jest niespokojna. Z przyczyn, których nie mogę w pełni wyjaśnić, znalazłem spokój w twojej kompanii, pomimo tego, że kwestionowałem twoje dowodzenie. Czy pozwolisz mi ponownie sobie służyć?
str_npc7_rehire_speech|Kapitanie! Dobrze cię widzieć. Wybacz mi to, co mówiłam, kiedy się rozstawaliśmy. Wsiadłam na okręt w Wercheg i wyruszyłam na wschód. Niestety zaatakowali nas piraci i po zapłaceniu okupu, wróciłam z powrotem. Pewnie na świecie są lepsze miejsca niż Calradia i muszę je jeszcze kiedyś zobaczyć. Jednak tak sobie myślę, że skoro mam tu żyć, to twoja kompania byłaby dobrym miejscem. Przyjmiesz mnie z powrotem?
str_npc8_rehire_speech|Witaj {playername} Zastanawiałam się, czy potrafisz zapomnieć gorzkie słowa, które wypowiedziałam w przeszłości. Polowałam wśród tutejszych Nordów w nadziei, że znajdę dość ludzi, by odzyskać majątek męża. Nie udało mi się jednak znaleźć wystarczającej załogi, by obsadzić statek, a ci, których zwerbowałam, szybko się znudzili i odeszli. Oczywiście wcześniej przepili moje złoto. Pomyślałam więc, że wrócę do naszych bitew. To były dobre dni i do tego całkiem zyskowne.
str_npc9_rehire_speech|A niech to, {mój pan/moja pani}! Tak dobrze cię widzieć! Szukałem pracy wśród lordów w tych okolicach, ale byłem wyjątkowo rozczarowany. Połowa z nich prosiła mnie o zebranie długów od innych, jakbym był chłopcem na posyłki u bankiera, lub o ściganie jego podwładnych, jakbym był nadzorcą farmy. Jeden z nich rozkazał mi nawet, bym zamordował jednego z jego wierzycieli! Szukałem ciebie w nadziei, że zechcesz przyjąć mnie z powrotem.
str_npc10_rehire_speech|Kapitanie! Dobrze cię znów widzieć. Widzisz, okazało się, że nie jest ze mnie żaden farmer. Jestem chyba zbyt miękki dla pracowników. Pozwoliłem, by mnie okradli do zera. Chyba jednak walka jest tym, na czym znam się najlepiej. Powiedz mi więc kapitanie, czy wciąż szukasz dobrych ludzi?
str_npc11_rehire_speech|{Kapitanie/Pani kapitan}! Tak dobrze cię widzieć! Ludzie powiadają, że zdobywasz fortuny. Przyznaję, że jestem starym workiem kości. Opuściłam cię, ponieważ nie odpowiadało mi życie wojownika, spędziłam jednak trochę czasu w mieście i zdałam sobie sprawę, że są gorsze rzeczy od pełnego brzucha, szczerych towarzyszy i radości z widoku uciekającego wroga. A więc, czy zatrudnisz mnie ponownie?
str_npc12_rehire_speech|Kapitanie! Dobrze widzieć twoją szczerą twarz. Ten świat jest pełen kłamstw. Wróciłem do domu, aby podzielić się odkryciami, zatrudniłem kilku skrybów, przygotowałem parę podręcznych kodeksów i czekałem na opinie. Okazało się jednak, że uniwersytety nie są zainteresowane prawdziwą wieżą medyczną, a tylko jeden przesłodzony Galerian. Wydawcy natomiast - uwierz mi, nie ma nikogo bardziej pozbawionego skrupułów. Wypożyczali książki rozdział po rozdziale uczniom do kopiowania, ale połowa nie została zwrócona, a te, które powróciły, miały stronice zabrudzone winem. Kompletnego egzemplarza można by ze świecą szukać. Będę próbował dalej, ale wcześniej muszę odzyskać trochę pieniędzy. Szukasz może chirurga?
str_npc13_rehire_speech|Witaj, bohaterski kapitanie. Miałem nadzieję, że znów cię ujrzę. Gdziekolwiek się udam, słyszę opowieści i pieśni o twych wyczynach. Przyznam, że poczułem żal, że się rozstaliśmy, jak również odrobinę zazdrości o twoją reputację. Pomyślałem, że mógłbym ponownie walczyć po twojej stronie i kąpać się w blasku sławy, Może znów połączymy siły na pewien czas?
str_npc14_rehire_speech|Kapitanie. Dobrze cię widzieć. Kiedy się ostatnio rozstaliśmy, byłem gotów przysiąc, że już nigdy nie będę tobie służył, ale chyba oceniłem cię zbyt srogo. W całej Calradii ludzie cię wychwalają. Próbowałem służyć w armiach innych lordów, ale uwierz mi, to co tam widziałem, zmienia moją opinię o twoim dowodzeniu. Jeśli chcesz mnie z powrotem w swojej kompanii, to będę dla ciebie walczył.
str_npc15_rehire_speech|Witaj {playername}. Nie mogę powiedzieć, bym się nie cieszył z twojego widoku. Widzisz, zaraz po rozstaniu przyjąłem inny kontrakt, ale kiedy doszło do zapłaty, mój pracodawca zaoferował mi jedynie wyjaśnienia i uwagi na temat mojej pracy. Nie mogę powiedzieć, że zawsze byłem szczęśliwy w twojej kompanii, ale przynajmniej złoto trafiało po każdej bitwie bezpośrednio do mojej sakiewki. Wciąż oferujesz pracę?
str_npc16_rehire_speech|{Kapitanie/Pani kapitan}! Powiadają, że dobrze sobie radzisz od naszego ostatniego spotkania. Przyznam, że przeklinałam twoje imię, ale ostatecznie uznałam, że nie było wcale tak źle. Wszyscy ci lordowie z chęcią wysyłali mnie na jakieś bezsensowne posyłki, a nie myśleli o tym, by postawić mnie w pierwszej linii w walce. Najwyraźniej wzbudzałam niepokój u ich ludzi. Słyszałam jak mówią, że jestem wiedźmą lub że zjadam serce mężczyzn po tym, jak ich zabiję. Fakt, nie przeszkadza mi zakłuć kogoś we śnie, ale wolę, jak jest zbudzony i się broni. Pomyślałam więc, że spróbuję cię poszukać i zapytam, czy mogę znów dołączyć.
str_npc1_home_intro|{Szefie/Szefowo}, czy wiesz, że urodziłem się tutaj, na tych stepach? Tutaj właśnie poznawałem się na koniach, ponieważ to dobra ziemia dla koni, choć ciężka dla człowieka. Pewnie dlatego Khergici ją lubią.
str_npc2_home_intro|Zbliżamy się do Sargoth. To tam się kierowałem, kiedy dopadli mnie Khergici.
str_npc3_home_intro|Czujesz ten zapach? Drzewka cytrynowe, jabłonie i krokusy - zapach Veluki. Spędziłam tutaj wiele szczęśliwych lat jako dziewczynka, bawiąc się w ogrodach rodziny mojej matki, podczas gdy ojciec handlował daleko stąd.
str_npc4_home_intro|Lasy Ehlerdah. Ble... Miejsce pełne bandytów i wyrzutków.
str_npc5_home_intro|Bahadur, zbliżamy się do Halmar, największego miasta na niskich stepach. Siostra mojej matki poślubiła tutaj mieszczanina, pomyślałem więc, że spróbuję swoich szans u miejscowego lorda. Wtedy właśnie spotkałem ciebie.
str_npc6_home_intro|Sądząc po winoroślach i tarasach na wzgórzu, jestem blisko domu. Nie mam ochoty widzieć się z rodziną, więc kiedy wejdziesz do miasta, ja pozostanę poza jego murami. Jestem pewien, że mnie rozumiesz.
str_npc7_home_intro|Czujesz ten zapach? Solone ryby, gnijący len i muł rzeczny. Tak pachniało moje dzieciństwo. Mam ochotę zwymiotować.
str_npc8_home_intro|Hmf. Słyszysz to? To fale rozbijające się o ląd. Musimy być niedaleko zatoki Gundig.
str_npc9_home_intro|Ujrzyj Skałę z Rivacheg! Największa forteca w Calradii. Mój ojciec był jednym z tych, którzy bronili się tutaj przed Nordami, kiedy ci po raz pierwszy próbowali wejść w głąb lądu z wybrzeża.
str_npc10_home_intro|Czujesz to świeże powietrze bracie? To był mój dom, zanim ruszyłem za granicę w poszukiwaniu pieniędzy. Dobrze znów być na wzgórzach. Czujesz swobodę. Kołyska wolności Rhodoków jest tutaj, pod zamkiem Grunwalder.
str_npc11_home_intro|Widzę góry. Musimy zbliżać się do domu.
str_npc12_home_intro|Mijamy miejsce jednego z moich największych triumfów medycznych, jeśli cię to interesuje.
str_npc13_home_intro|Ach, zamek Ergellon! Takie piękne miejsce, pod górami Rhodok. Jakże szczęśliwe dni przeżyłem tu przedostatniego lata.
str_npc14_home_intro|Widzisz fortecę tam na górze nad doliną? To zamek Ismirala. Spędziłem tam kilka lat temu zimę, próbując szkolić ludzi lorda.
str_npc15_home_intro|Widzisz ten zamek tam na wzgórzu? Nazywa się Culmarr. Niedawno prowadziłem tam roboty. Nie jest tak pokaźny, jak niektóre zamki w krainie, ale ma najlepszą murarkę, jaką widziałem.
str_npc16_home_intro|Hej, {kapitanie/pani kapitan}, widzisz to? Ślady zajęcy na śniegu. Musimy zbliżać się do miejsca, w którym się urodziłam.
str_npc1_home_description|Cóż, Khergici zawsze tu żyli, nawet w dawnych czasach.  Cesarz dał im złoto i ziemię, by trzymali się z daleka od innych plemion. Doszły mnie słuchy, że mój pradziad był przywódcą Khergitów, choć moja matka go nie znała, tak jak ja nie znałem swojego ojca. Kiedy moja matka była dziewką, Khergici zaczęli przechodzić coraz liczniej przez góry. Teraz Chan Khegritów jest w Tuldze.
str_npc2_home_description|Ludzie powiadają, że Nordowie do banda żądnych krwi barbarzyńców, ale moim zdaniem doskonale znają się na handlu. Dzięki nim ludzie wzdłuż całego wybrzeża hodują len, z którego tkają materiały. Nie może oczywiście konkurować z jedwabiem oraz aksamitem wyrabianym w Jelkali, ale nadaje się na odzież letnią i można go używać do ożaglowania statków. Co ważniejsze, len był jednym z niewielu towarów, którymi nikt w Calradii już nie handlował.
str_npc3_home_description|W Veluce są deszczowe zimy i gorące lata, więc ludzie budują tu wielkie zbiorniki, żeby nawadniać pola. Uprawiają winogrona - velukańskie wino jest znakomite {panie/pani} - natomiast ci, którzy mają dość pieniędzy, tworzą sobie ogrody z winorośli, gdzie gęsto rosną drzewa owocowe, a my siedzimy, słuchając w nocy muzyki, grając w szachy lub po prostu wdychając nocne powietrze.
